Date	Hour_string	UserId	Group	LearningObjective	Correct	Progress	Color
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40286	Getallen	Optellen en aftrekken tot ±1000	1	1	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	11	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	4	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40275	Getallen	Schatten door afronden	1	37	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	-27	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40273	Getallen	Schatten door afronden	0	-32	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40268	Getallen	Schatten door afronden	0	-47	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Optellen en aftrekken tot ±1000	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40277	Getallen	Optellen en aftrekken tot ±1000	0	-7	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40275	Getallen	Schatten door afronden	1	31	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40273	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	1	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	8	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40273	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	33	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40274	Getallen	Schatten door afronden	0	-70	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40268	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	-12	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Optellen en aftrekken tot ±1000	1	1	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40275	Getallen	Schatten door afronden	1	18	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	28	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40281	Getallen	Optellen en aftrekken tot ±1000	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	13	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40274	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
